2024-10-09 17:34:15,661 p=16305 u=kirill n=ansible | TASK [base : add ssh key for susan] ****************************************************************************************************************************************
2024-10-09 17:34:16,238 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:16,257 p=16305 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:34:16,264 p=16305 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:34:17,556 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:17,566 p=16305 u=kirill n=ansible | TASK [web_servers : install apache, Lynx browser] **************************************************************************************************************************
2024-10-09 17:34:20,730 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:20,736 p=16305 u=kirill n=ansible | TASK [web_servers : start apache2 (this is not required for Ubuntu. But for Fedora and RHEL you need to start services manually after installation in most cases)] *********
2024-10-09 17:34:21,550 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:21,555 p=16305 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] ******************************************************************************************************************
2024-10-09 17:34:22,046 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:22,050 p=16305 u=kirill n=ansible | TASK [web_servers : restart apache2] ***************************************************************************************************************************************
2024-10-09 17:34:22,078 p=16305 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:34:22,083 p=16305 u=kirill n=ansible | TASK [web_servers : copy default html file for site] ***********************************************************************************************************************
2024-10-09 17:34:23,009 p=16305 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:34:23,038 p=16305 u=kirill n=ansible | PLAY [workstations] ********************************************************************************************************************************************************
2024-10-09 17:34:23,044 p=16305 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:34:24,082 p=16305 u=kirill n=ansible | ok: [susan@localhost]
2024-10-09 17:34:24,092 p=16305 u=kirill n=ansible | TASK [workstations : install unzip] ****************************************************************************************************************************************
2024-10-09 17:34:25,250 p=16305 u=kirill n=ansible | ok: [susan@localhost]
2024-10-09 17:34:25,258 p=16305 u=kirill n=ansible | TASK [workstations : install terraform] ************************************************************************************************************************************
2024-10-09 17:34:51,291 p=16305 u=kirill n=ansible | ok: [susan@localhost]
2024-10-09 17:34:51,319 p=16305 u=kirill n=ansible | PLAY RECAP *****************************************************************************************************************************************************************
2024-10-09 17:34:51,320 p=16305 u=kirill n=ansible | server-1.sber.ru           : ok=2    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:34:51,320 p=16305 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:34:51,320 p=16305 u=kirill n=ansible | susan@localhost            : ok=5    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
